moment_index,has_shift_marker,has_original_or_display_time,b9_v4_timestamp_policy,timestamp_state
0,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
1,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
2,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
3,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
4,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
5,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
6,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
7,True,True,ORIGINAL_TIME_REQUIRED_WHEN_SHIFTED_REPLAY_PRESENT,OK
