moment_index,label_fr,reading_fr,source_mode,data_visibility,confidence_cap,proxy_vs_raw_verdict,raw_texture_role,technical_limits,b9_retest_source_limits,b9_natural_flow_limits
0,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
1,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
2,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
3,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
4,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
5,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
6,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
7,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED,PRESERVED
