date,time_start,time_end,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,proxy_vs_raw_verdict,proxy_raw_agreement_state,source_quality_score,source_quality_state,b6_memory_candidate_score,b6_memory_candidate_state,raw_texture_role,raw_delta_pips,raw_range_pips,raw_tick_count,moment_type,label_fr,memory_candidate_reason,technical_limits
2026-05-04,2026-05-04T18:00:00+00:00,2026-05-04T19:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF30_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.350,SOURCE_QUALITY_LOW_TRUST,0.390,B6_LOW_TRUST_CANDIDATE,RAW_ROTATION_CONFIRMED,4.1,11.9,3715,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,"Audit seulement: provenance FORCE_SNAPSHOT_DERIVED, accord NUANCED_BY_RAW, qualite SOURCE_QUALITY_LOW_TRUST, texture RAW_ROTATION_CONFIRMED; score memoire 0.390.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=SPARSE_PROXY_COVERAGE; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
2026-05-04,2026-05-04T19:00:00+00:00,2026-05-04T20:00:00+00:00,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,TF30_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.25,NUANCED_BY_RAW,NUANCED_BY_RAW,0.350,SOURCE_QUALITY_LOW_TRUST,0.390,B6_LOW_TRUST_CANDIDATE,RAW_ROTATION_CONFIRMED,-0.7,10.6,3843,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,"Audit seulement: provenance FORCE_SNAPSHOT_DERIVED, accord NUANCED_BY_RAW, qualite SOURCE_QUALITY_LOW_TRUST, texture RAW_ROTATION_CONFIRMED; score memoire 0.390.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=SPARSE_PROXY_COVERAGE; confidence_cap=0.25; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL
