moment_index,time_start,time_end,label_fr,moment_type,b9_center_path_visibility,b9_center_path_points,b9_center_start,b9_center_end,b9_center_min,b9_center_max,b9_center_range_pips,b9_center_net_delta_pips,b9_center_max_favorable_excursion_pips,b9_center_max_adverse_excursion_pips,b9_center_inflexion_count,b9_center_path_shape,b9_internal_progress_state,b9_center_path_reading_fr
1,2026-05-15T08:00:00Z,2026-05-15T08:14:00Z,Effort sans résultat,T009_MOMENT_EFFORT_WITHOUT_RESULT,CENTER_PATH_VISIBLE,5,1.3363,1.3355,1.3353,1.3363,10.0,-8.0,10.0,0.0,2,STAIR_STEP_PROGRESS_DOWN,INTERNAL_STAIR_STEP_PROGRESS,Le centre avance par paliers: progression interne avec respiration locale.
2,2026-05-15T10:11:00Z,2026-05-15T10:23:00Z,Vague progressive,T009_MOMENT_PROGRESSIVE_WAVE,CENTER_PATH_VISIBLE,5,1.33627,1.33742,1.33627,1.33742,11.5,11.5,11.5,0.0,0,STRAIGHT_PROGRESS_UP,INTERNAL_PROGRESS_VISIBLE,Le centre avance de facon lisible: le film interne confirme une progression directionnelle du centre.
3,2026-05-15T11:01:00Z,2026-05-15T11:18:00Z,Centre de gravité qui descend,T009_MOMENT_CENTER_MIGRATION_DOWN,CENTER_PATH_VISIBLE,5,1.33645,1.33516,1.33516,1.33645,12.9,-12.9,12.9,0.0,0,STRAIGHT_PROGRESS_DOWN,INTERNAL_PROGRESS_VISIBLE,Le centre avance de facon lisible: le film interne confirme une progression directionnelle du centre.
4,2026-05-15T13:53:00Z,2026-05-15T13:57:00Z,Rejet court sous le haut,T009_MOMENT_PROJECTION_DECAY,CENTER_PATH_VISIBLE,5,1.3382,1.33821,1.3382,1.33915,9.5,0.1,9.5,0.0,1,ROUND_TRIP_NO_PROGRESS,INTERNAL_ROUND_TRIP_CAUTION,Le centre fait du chemin mais revient proche de son point de depart: mouvement interne sans deplacement net de memoire.
5,2026-05-15T20:12:00Z,2026-05-15T21:00:00Z,Shelf lent sans reprise,T009_MOMENT_CORRECTIVE_BREATH,CENTER_PATH_PROXY_EXTREMES,4,1.3335,1.33286,1.33285,1.33376,9.1,-6.4,6.5,2.6,1,STAIR_STEP_PROGRESS_DOWN,INTERNAL_STAIR_STEP_PROGRESS,Le centre avance par paliers: progression interne avec respiration locale.
