query_id,query_film_id,rank,film_id,film_date,time_start,time_end,session,memory_family,similarity_score,base_motion,reaction_profile,projection_shape,judgment_clarity,source_family,summary_recovery_type,raw_agreement,source_quality_state,raw_texture_role,ranking_reason_fr
B6Q_PRECOMPUTED_B6FC_20260505_1413_BDE6E508,B6FC_20260505_1413_BDE6E508,1,B6FC_20260514_1903_E8F0918A,2026-05-14,2026-05-14T19:03:00+00:00,2026-05-14T20:03:00+00:00,NY_AFTERNOON,DIRECTIONAL_PROGRESS_MEMORY,0.778821,0.459459,0.728237,0.927587,1.0,FORCE_SNAPSHOT_DERIVED,,CONFIRMED_BY_RAW,SOURCE_QUALITY_USABLE,RAW_PROGRESS_CONFIRMED,"Film proche par comparaison 4D intra-famille: force principale=judgment_clarity 1.00; écart principal=base_motion 0.46. Lecture de similarité uniquement, sans prédiction."
B6Q_PRECOMPUTED_B6FC_20260505_1413_BDE6E508,B6FC_20260505_1413_BDE6E508,2,B6FC_20260513_0200_5821F72C,2026-05-13,2026-05-13T02:00:00+00:00,2026-05-13T03:00:00+00:00,ASIAN_SESSION,DIRECTIONAL_PROGRESS_MEMORY,0.764655,0.459459,0.751645,0.88135,0.966167,FORCE_SNAPSHOT_DERIVED,,CONFIRMED_BY_RAW,SOURCE_QUALITY_USABLE,RAW_PROGRESS_CONFIRMED,"Film proche par comparaison 4D intra-famille: force principale=judgment_clarity 0.97; écart principal=base_motion 0.46. Lecture de similarité uniquement, sans prédiction."
B6Q_PRECOMPUTED_B6FC_20260505_1413_BDE6E508,B6FC_20260505_1413_BDE6E508,3,B6FC_20260513_0700_C66F0CA0,2026-05-13,2026-05-13T07:00:00+00:00,2026-05-13T08:00:00+00:00,ASIA_LONDON_HANDOVER,DIRECTIONAL_PROGRESS_MEMORY,0.755217,0.459459,0.731131,0.864112,0.966167,FORCE_SNAPSHOT_DERIVED,,CONFIRMED_BY_RAW,SOURCE_QUALITY_USABLE,RAW_PROGRESS_CONFIRMED,"Film proche par comparaison 4D intra-famille: force principale=judgment_clarity 0.97; écart principal=base_motion 0.46. Lecture de similarité uniquement, sans prédiction."
B6Q_PRECOMPUTED_B6FC_20260505_1413_BDE6E508,B6FC_20260505_1413_BDE6E508,4,B6FC_20260513_1700_10F2213C,2026-05-13,2026-05-13T17:00:00+00:00,2026-05-13T18:00:00+00:00,NY_AFTERNOON,DIRECTIONAL_PROGRESS_MEMORY,0.741605,0.405405,0.690952,0.903895,0.966167,FORCE_SNAPSHOT_DERIVED,,CONFIRMED_BY_RAW,SOURCE_QUALITY_USABLE,RAW_PROGRESS_CONFIRMED,"Film proche par comparaison 4D intra-famille: force principale=judgment_clarity 0.97; écart principal=base_motion 0.41. Lecture de similarité uniquement, sans prédiction."
B6Q_PRECOMPUTED_B6FC_20260505_1413_BDE6E508,B6FC_20260505_1413_BDE6E508,5,B6FC_20260512_1037_3A1AF089,2026-05-12,2026-05-12T10:37:00+00:00,2026-05-12T11:37:00+00:00,LONDON_IGNITION,DIRECTIONAL_PROGRESS_MEMORY,0.740596,0.459459,0.618069,0.884858,1.0,FORCE_SNAPSHOT_DERIVED,,CONFIRMED_BY_RAW,SOURCE_QUALITY_USABLE,RAW_PROGRESS_CONFIRMED,"Film proche par comparaison 4D intra-famille: force principale=judgment_clarity 1.00; écart principal=base_motion 0.46. Lecture de similarité uniquement, sans prédiction."
