node_id,date,time_start,time_end,node_role,origin_zone_id,origin_zone_low,origin_zone_high,origin_zone_center,zone_status_before,zone_status_after,price_verdict,scene_role,retest_result,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,proxy_vs_raw_verdict,source_quality_state,node_strength_state,node_memory_relevance,node_reading_fr,technical_limits
B9NODE_6167D6796E,2026-05-15,2026-05-15T08:00:00Z,2026-05-15T08:14:00Z,ABSORPTION_SHELF_NODE,B9ZONE_49070A6D25,1.33532,1.33634,1.33583,ZONE_WORKED,ZONE_DECISION_PENDING,PENDING,EFFORT_WITHOUT_RESULT_FRICTION,RETEST_NOT_VISIBLE,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED,0.35,NUANCED_BY_RAW,SOURCE_RAW_NUANCED,NODE_USABLE_RAW_NUANCED,NODE_MEMORY_MEDIUM,"Node de palier d'absorption : beaucoup d'effort, peu de progrès net, zone en décision.",source_mode=M1_BAR_PROXY; data_visibility=RECONSTRUCTED; proxy_vs_raw_verdict=NUANCED_BY_RAW
B9NODE_EE2FC9A682,2026-05-15,2026-05-15T09:10:00Z,2026-05-15T09:31:00Z,RETEST_FAILED_NODE,B9ZONE_1ABD131563,1.33379,1.33588,1.33484,ZONE_TESTED,ZONE_REJECTED,REJECTED,RETEST_FAILED_REJECTION_NODE,RETEST_FAILED,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,RAW_TICK,FULL_RAW,0.8,CONFIRMED_BY_RAW,SOURCE_RAW_CONFIRMED,NODE_STRONG_RAW_CONFIRMED,NODE_MEMORY_HIGH,Node de retest échoué : le prix revient juger la zone puis ne confirme pas l'acceptation.,source_mode=RAW_TICK; data_visibility=FULL_RAW; proxy_vs_raw_verdict=CONFIRMED_BY_RAW
B9NODE_8F3A91A8E9,2026-05-15,2026-05-15T10:00:00Z,2026-05-15T10:23:00Z,PROGRESSIVE_REACTION_NODE,B9ZONE_4FD2A2AD7E,1.33506,1.33742,1.33624,ZONE_WORKED,MEMORY_SHIFTED,ACCEPTED,PROGRESSIVE_FIRST_LEG,RETEST_NOT_VISIBLE,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED,0.35,CONFIRMED_BY_RAW,SOURCE_RAW_CONFIRMED,NODE_STRONG_RAW_CONFIRMED,NODE_MEMORY_MEDIUM,Node de réaction progressive : l'effort produit du résultat et déplace la mémoire.,source_mode=M1_BAR_PROXY; data_visibility=RECONSTRUCTED; proxy_vs_raw_verdict=CONFIRMED_BY_RAW
B9NODE_1BABE60068,2026-05-14,2026-05-14T14:10:00Z,2026-05-14T15:05:00Z,FAILED_REINTEGRATION_NODE,B9ZONE_CE30E021F5,1.3362,1.3368,1.3365,ZONE_TESTED,ZONE_REJECTED,FAILED_REINTEGRATION,FAILED_REINTEGRATION_NODE,FAILED_REINTEGRATION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,NUANCED_BY_RAW,SOURCE_RAW_NUANCED,NODE_USABLE_RAW_NUANCED,NODE_MEMORY_HIGH,Node de réintégration échouée : le retour dans la zone ne reprend pas le contrôle.,source_mode=M1_BAR_PROXY; data_visibility=RECONSTRUCTED; proxy_vs_raw_verdict=NUANCED_BY_RAW
B9NODE_BAAE4DD40B,2026-05-12,2026-05-12T16:20:00Z,2026-05-12T17:10:00Z,LOWER_ZONE_DEFENDED_NODE,B9ZONE_1064BEDD0E,1.326,1.3272,1.3266,LOW_ZONE_TESTED,LOW_ZONE_DEFENDED,LOWER_ZONE_DEFENDED,LOW_ZONE_DEFENDED_REACTION,RETEST_NOT_VISIBLE,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,RAW_TICK,FULL_RAW,0.8,CONFIRMED_BY_RAW,SOURCE_RAW_CONFIRMED,NODE_STRONG_RAW_CONFIRMED,NODE_MEMORY_HIGH,Node de zone basse défendue : le bas est travaillé sans être cassé proprement.,source_mode=RAW_TICK; data_visibility=FULL_RAW; proxy_vs_raw_verdict=CONFIRMED_BY_RAW
B9NODE_F17EC7F8F8,2026-05-13,2026-05-13T18:00:00Z,2026-05-13T18:30:00Z,RAW_UNAVAILABLE_NODE_REJECTED,B9ZONE_5F15EAF5E0,1.34,1.341,1.3405,ZONE_UNKNOWN,ZONE_REVIEW_REQUIRED,PENDING,SCENE_ROLE_REVIEW_REQUIRED,RETEST_NOT_VISIBLE,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED,0.25,RAW_UNAVAILABLE,SOURCE_RAW_UNAVAILABLE_REJECTED,NODE_REJECTED_RAW_UNAVAILABLE,NODE_MEMORY_REJECTED,Node terrain à revoir : la scène contient une cristallisation possible mais encore partielle. Raw indisponible : node exclu de la mémoire active.,source_mode=M1_BAR_PROXY; data_visibility=RECONSTRUCTED; proxy_vs_raw_verdict=RAW_UNAVAILABLE; RAW_UNAVAILABLE : rejet mémoire active
