date,film_cards,confirmed_by_raw,nuanced_by_raw,source_quality_usable,keep_candidates,confirmed_share,usable_share,dominant_memory_family
2026-05-05,2,1,1,2,2,0.5,1.0,DIRECTIONAL_PROGRESS_MEMORY
2026-05-06,52,0,52,0,52,0.0,0.0,FRICTION_ABSORPTION_MEMORY
2026-05-07,21,12,9,0,21,0.5714,0.0,DIRECTIONAL_PROGRESS_MEMORY
2026-05-08,20,8,12,0,20,0.4,0.0,DIRECTIONAL_PROGRESS_MEMORY
2026-05-11,14,5,9,14,14,0.3571,1.0,DIRECTIONAL_PROGRESS_MEMORY
2026-05-12,17,4,13,17,17,0.2353,1.0,DIRECTIONAL_PROGRESS_MEMORY
2026-05-13,20,7,13,20,7,0.35,1.0,DIRECTIONAL_PROGRESS_MEMORY
2026-05-14,5,3,2,5,5,0.6,1.0,DIRECTIONAL_PROGRESS_MEMORY
