zone_id,date,first_seen,last_tested,zone_low,zone_high,zone_center,zone_width_pips,test_count,accepted_count,rejected_count,defended_count,consumed_count,pending_count,fresh,consumed,zone_memory_state,dominant_scene_role,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,proxy_vs_raw_verdict,source_quality_state,zone_memory_reading_fr,technical_limits,source_moment_count,source_moment_labels
B9ZM_20260515_1P33217_326D8E7FCB,2026-05-15,2026-05-15T18:25:00Z,2026-05-15T18:45:00Z,1.33183,1.3325,1.332165,6.7,1,0,0,1,0,0,False,False,ZONE_MEMORY_DEFENDED,LOW_ZONE_DEFENDED_REACTION,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,Zone mémoire autour de 1.33217 défendue au moins une fois ; B9 la conserve comme zone vivante à comparer.,"[""no execution-direction language; no outcome-rate claim"", ""proxy or reconstructed source: do not harden as raw truth"", ""read-only builder; no DB write"", ""zone memory is a behavioral trace, not an execution instruction"", ""zone memory object is derived from B9 summary fields, not from a centralized order book""]",1,"[""LOW_ZONE_DEFENDED_REACTION""]"
B9ZM_20260515_1P33483_14089DB1D5,2026-05-15,2026-05-15T09:10:00Z,2026-05-15T09:31:00Z,1.33379,1.33588,1.334835,20.9,1,0,1,0,0,0,False,False,ZONE_MEMORY_REJECTED,RETEST_FAILED_REJECTION_NODE,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,NUANCED_BY_RAW,SOURCE_QUALITY_MEDIUM,Zone mémoire autour de 1.33483 rejetée ou retestée défavorablement ; elle marque un node potentiel de changement de rôle.,"[""NUANCED_BY_RAW remains nuanced; it is not CONFIRMED_BY_RAW"", ""no execution-direction language; no outcome-rate claim"", ""proxy or reconstructed source: do not harden as raw truth"", ""read-only builder; no DB write"", ""zone memory is a behavioral trace, not an execution instruction"", ""zone memory object is derived from B9 summary fields, not from a centralized order book""]",1,"[""RETEST_FAILED_REJECTION_NODE""]"
B9ZM_20260515_1P33554_E0A7DCD9D5,2026-05-15,2026-05-15T11:00:00Z,2026-05-15T11:31:00Z,1.33464,1.33645,1.335545,18.1,1,0,0,0,0,1,False,False,ZONE_MEMORY_PENDING,CENTER_MIGRATION_DOWN_MEMORY_SHIFT,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,Zone mémoire autour de 1.33554 travaillée 1 fois mais encore en attente de jugement clair.,"[""no execution-direction language; no outcome-rate claim"", ""proxy or reconstructed source: do not harden as raw truth"", ""read-only builder; no DB write"", ""zone memory is a behavioral trace, not an execution instruction"", ""zone memory object is derived from B9 summary fields, not from a centralized order book""]",1,"[""CENTER_MIGRATION_DOWN_MEMORY_SHIFT""]"
B9ZM_20260515_1P33624_5D95EA1011,2026-05-15,2026-05-15T08:00:00Z,2026-05-15T10:23:00Z,1.33506,1.33742,1.33624,23.6,2,1,0,0,0,1,False,False,ZONE_MEMORY_ACCEPTED,EFFORT_WITHOUT_RESULT_FRICTION,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,NUANCED_BY_RAW,SOURCE_QUALITY_MEDIUM,"Zone mémoire autour de 1.33624 acceptée dans le film ; elle peut servir de repère de scène, sans décision.","[""M1 proxy reading"", ""NUANCED_BY_RAW remains nuanced; it is not CONFIRMED_BY_RAW"", ""no execution-direction language; no outcome-rate claim"", ""no footprint exact"", ""proxy or reconstructed source: do not harden as raw truth"", ""read-only builder; no DB write"", ""zone memory is a behavioral trace, not an execution instruction"", ""zone memory object is derived from B9 summary fields, not from a centralized order book""]",2,"[""EFFORT_WITHOUT_RESULT_FRICTION"", ""PROGRESSIVE_FIRST_LEG""]"
B9ZM_20260515_1P33796_CF53584910,2026-05-15,2026-05-15T13:38:00Z,2026-05-15T13:53:00Z,1.33676,1.33915,1.337955,23.9,1,0,0,0,0,1,False,False,ZONE_MEMORY_PENDING,PROGRESSIVE_SECOND_LEG_CANDIDATE,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,NUANCED_BY_RAW,SOURCE_QUALITY_MEDIUM,Zone mémoire autour de 1.33796 travaillée 1 fois mais encore en attente de jugement clair.,"[""NUANCED_BY_RAW remains nuanced; it is not CONFIRMED_BY_RAW"", ""no execution-direction language; no outcome-rate claim"", ""proxy or reconstructed source: do not harden as raw truth"", ""read-only builder; no DB write"", ""zone memory is a behavioral trace, not an execution instruction"", ""zone memory object is derived from B9 summary fields, not from a centralized order book""]",1,"[""PROGRESSIVE_SECOND_LEG_CANDIDATE""]"
B9ZM_20260515_1P33868_2CC30C4AF9,2026-05-15,2026-05-15T13:53:00Z,2026-05-15T13:57:00Z,1.33821,1.33915,1.33868,9.4,1,0,1,0,0,0,False,False,ZONE_MEMORY_REJECTED,HIGH_REJECTION_NODE,ORIGINAL_AVAILABLE_SUMMARY,ORIGINAL_AVAILABLE_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,NUANCED_BY_RAW,SOURCE_QUALITY_MEDIUM,Zone mémoire autour de 1.33868 rejetée ou retestée défavorablement ; elle marque un node potentiel de changement de rôle.,"[""NUANCED_BY_RAW remains nuanced; it is not CONFIRMED_BY_RAW"", ""no execution-direction language; no outcome-rate claim"", ""proxy or reconstructed source: do not harden as raw truth"", ""read-only builder; no DB write"", ""zone memory is a behavioral trace, not an execution instruction"", ""zone memory object is derived from B9 summary fields, not from a centralized order book""]",1,"[""HIGH_REJECTION_NODE""]"
